TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
433,21970,50.73903,-5.274827,116,2.36938,0.1
434,22000,50.69125,-5.184332,116,2.363202,0.1
435,22031,50.64598,-5.16092,116,2.362322,0.1
436,22061,50.59863,-5.162844,116,2.364141,0.1
437,22092,50.55378,-5.121282,116,2.361763,0.1
438,22122,50.50685,-5.086758,116,2.362038,0.1
439,22153,50.46241,-5.136674,116,2.361734,0.1
440,22181,50.41137,-5.115909,116,2.360937,0.1
441,22207,50.35601,-5.163265,116,2.363658,0.1
442,22230,50.29412,-5.19457,116,2.366178,0.1
443,22252,50.23025,-5.178329,116,2.363568,0.1
444,22276,50.17117,-5.166667,116,2.363995,0.1
445,22306,50.12584,-5.150562,116,2.362872,0.1
446,22336,50.08072,-5.224215,116,2.363248,0.1
447,22366,50.03579,-5.208054,116,2.360569,0.1
448,22396,49.99107,-5.174107,116,2.35796,0.1
449,22426,49.94655,-5.051225,116,2.3587,0.1
450,22456,49.90222,-5.053333,116,2.356463,0.1
451,22485,49.85588,-5.008869,116,2.356262,0.1
452,22515,49.81195,-5.028761,116,2.357812,0.1
453,22545,49.76821,-4.960265,116,2.359266,0.1
454,22575,49.72467,-4.927313,116,2.35465,0.1
455,22601,49.67253,-4.973626,116,2.35796,0.1
456,22626,49.61842,-4.956141,116,2.357005,0.1
457,22651,49.56455,-4.956236,116,2.354563,0.1
458,22680,49.51965,-4.947598,116,2.351332,0.1
459,22709,49.47495,-4.938998,116,2.352991,0.1
460,22736,49.42609,-4.908696,116,2.353602,0.1
461,22764,49.37961,-4.906724,116,2.35579,0.1
462,22792,49.33333,-4.974026,116,2.357329,0.1
463,22821,49.28942,-4.948164,116,2.352266,0.1
464,22850,49.24569,-4.956897,116,2.351239,0.1
465,22879,49.20215,-4.948387,116,2.347517,0.1
466,22907,49.15665,-4.963519,116,2.349656,0.1
467,22935,49.11135,-4.961456,116,2.347584,0.1
468,22963,49.06624,-4.942307,116,2.344203,0.1
469,22991,49.02132,-4.889126,116,2.342942,0.1
470,23020,48.97872,-4.931915,116,2.344239,0.1
471,23048,48.93418,-4.946921,116,2.342909,0.1
472,23076,48.88983,-4.961864,116,2.343083,0.1
473,23104,48.84566,-4.959831,116,2.345243,0.1
474,23132,48.80169,-4.974684,116,2.344299,0.1
475,23160,48.7579,-5.006316,116,2.344957,0.1
476,23189,48.71638,-4.981092,116,2.342116,0.1
477,23215,48.66876,-4.890985,116,2.340455,0.1
478,23241,48.62134,-4.935146,116,2.339398,0.1
479,23268,48.5762,-4.85595,116,2.340054,0.1
480,23293,48.52708,-4.85625,116,2.340931,0.1
481,23321,48.48441,-4.920998,116,2.342231,0.1
482,23350,48.44398,-4.829875,116,2.340465,0.1
483,23378,48.40166,-4.778468,116,2.341375,0.1
484,23406,48.3595,-4.743802,116,2.342089,0.1
485,23434,48.31752,-4.775258,116,2.341627,0.1
486,23461,48.27366,-4.812757,116,2.341689,0.1
487,23490,48.23409,-4.788501,116,2.340705,0.1
488,23518,48.19262,-4.836066,116,2.342411,0.1
489,23546,48.15133,-4.867075,116,2.344852,0.1
490,23574,48.1102,-4.897959,116,2.346051,0.1
491,23602,48.06925,-4.879837,116,2.344801,0.1
492,23630,48.02845,-4.861789,116,2.345629,0.1
493,23658,47.98783,-4.795132,116,2.344722,0.1
494,23683,47.9413,-4.795547,116,2.342887,0.1
495,23710,47.89899,-4.783838,116,2.343044,0.1
496,23739,47.86089,-4.792339,116,2.344978,0.1
497,23766,47.81891,-4.764587,116,2.347137,0.1
498,23793,47.77711,-4.785141,116,2.347402,0.1
499,23821,47.73748,-4.831663,116,2.348671,0.1
500,23850,47.7,-4.84,116,2.349945,0.1
501,23878,47.66068,-4.886228,116,2.35061,0.1
